,BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CAM,CNT,CS,CX,CY,EEG_ENG,EEG_EXC,EEG_FRU,EEG_MED,FACE,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LPCX,LPCY,LPD,LPS,LPV,MID,MOB,RPCX,RPCY,RPD,RPS,RPV,SCLX,SCLY,SCN,TIME,TIMETICK,USER,VID,WEB
3658,0.0,0,14,1,0.5351600050926208,0.5006099939346313,1785,3663,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,582,0.2841799855232239,137,60.0615234375,0,0.5304200053215027,0.5043900012969971,0.31057000160217285,0.6015400290489197,19.628870010375977,1.0325900316238403,1,0,0,0.7434499859809875,0.6306700110435486,18.572040557861328,1.0325900316238403,1,0,0,584,60.3935546875,243900407801.0,,0,0
3678,0.0,0,14,1,0.4405600130558014,0.5372300148010254,1796,3683,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,586,0.3110400140285492,138,60.3603515625,0,0.4420900046825409,0.528659999370575,0.31988999247550964,0.6029599905014038,20.445859909057617,1.0396900177001953,1,0,0,0.7533400058746338,0.6356899738311768,19.53236961364746,1.0396900177001953,1,0,0,587,60.72607421875,243901152905.0,,0,0
3724,0.0,0,15,1,0.629289984703064,0.5180500149726868,1818,3729,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,593,0.393310010433197,139,60.695068359375,0,0.6342300176620483,0.5082899928092957,0.3353999853134155,0.5935099720954895,21.7879695892334,1.0325900316238403,1,0,0,0.7683699727058411,0.6271799802780151,20.287860870361328,1.0325900316238403,1,0,0,594,61.48193359375,243902846527.0,,0,0
3741,0.0,0,15,1,0.3628399968147278,0.5637800097465515,1826,3746,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,596,0.2175299972295761,140,61.448486328125,0,0.3627200126647949,0.559499979019165,0.32495999336242676,0.6016899943351746,21.973350524902344,1.0396900177001953,1,0,0,0.7582399845123291,0.6369500160217285,22.388330459594727,1.0396900177001953,1,0,0,597,61.7646484375,243903480102.0,,0,0
3771,0.0,0,16,1,0.43195000290870667,0.5521799921989441,1841,3776,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,601,0.2307099997997284,141,61.73095703125,0,0.42214998602867126,0.5802099704742432,0.3297100067138672,0.5986700057983398,19.649709701538086,1.0335299968719482,1,0,0,0.7608199715614319,0.6329600214958191,18.222759246826172,1.0558799505233765,1,0,0,602,62.2587890625,243904587345.0,,0,0
3801,0.0,0,16,1,0.5737699866294861,0.5363100171089172,1856,3806,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,605,0.22729000449180603,142,62.22607421875,0,0.5712599754333496,0.5408300161361694,0.34641000628471375,0.5838900208473206,20.38892936706543,1.0250400304794312,1,0,0,0.7781000137329102,0.6269099712371826,19.431760787963867,1.032439947128296,1,0,0,607,62.74755859375,243905683090.0,,0,0
3831,0.0,0,16,1,0.37130001187324524,0.5978800058364868,1871,3836,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,610,0.43140000104904175,143,62.715087890625,0,0.37178999185562134,0.5901600122451782,0.3377099931240082,0.5915600061416626,18.99827003479004,1.024880051612854,1,0,0,0.7676500082015991,0.6396300196647644,19.851240158081055,1.0174800157546997,1,0,0,612,63.24609375,243906800176.0,,0,0
3856,0.0,0,16,1,0.4249899983406067,0.5656999945640564,1883,3861,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,614,0.39770999550819397,144,63.212890625,0,0.4245299994945526,0.5699899792671204,0.34066998958587646,0.5954899787902832,18.392419815063477,1.0470900535583496,1,0,0,0.7710199952125549,0.6439499855041504,18.898120880126953,1.0470900535583496,1,0,0,616,63.65478515625,243907715944.0,,0,0
3887,0.0,0,16,1,0.4920499920845032,0.5673199892044067,1898,3892,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,619,0.4980500042438507,145,63.621337890625,0,0.4770500063896179,0.5692999958992004,0.3313699960708618,0.5932999849319458,18.139629364013672,1.0401500463485718,1,0,0,0.7628700137138367,0.6398400068283081,17.620759963989258,1.0401500463485718,1,0,0,621,64.170654296875,243908872223.0,,0,0
3929,0.0,0,16,1,0.5668500065803528,0.5915399789810181,1919,3934,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,626,0.6777300238609314,146,64.137451171875,0,0.5612999796867371,0.5949400067329407,0.3411099910736084,0.6095100045204163,19.481569290161133,1.032289981842041,1,0,0,0.7719299793243408,0.6473900079727173,18.42926025390625,1.0396900177001953,1,0,0,627,64.859619140625,243910416180.0,,0,0
